"Action","Ação"
"Add AnyMarket Log","Adicionar AnyMarket Log"
"Add Anymarket Products","Add Anymarket Products"
"Add anymarket log","Add anymarket log"
"Add anymarket products","Add anymarket products"
"Add","Add"
"Successfully synchronized brands.","Marcas sincronizadas com sucesso."
"Brand Code","Codigo da Marca"
"Brand Description","Descrição da Marca"
"Integration status","Status Integração"
"Send image as HTTP","Enviar imagem como HTTP"
"Enable Image Processing", "Habilitar Processamento de imagens"
"Width of the image.", "Largura da Imagem."
"Image Height.", "Altura da imagem."
"Variations","Variações"
"Variation","Variação"
"Width that the image will be resized.", "Largura que a imagem sera redimensionada."
"Height that the image will be resized.", "Altura que a imagem sera redimensionada."
"Enabling this parameter images are processed before being sent to Anymarket.", "Habilitando esse parametro as imagens serão processadas antes de serem enviadas ao Anymarket."
"Product images are reduced to the Anymarket accepted.", "As imagens dos produtos serão reduzidas para que o Anymarket aceite."
"This feature will not work if your magento not allow access images as HTTP.","Esse recurso não ira funcionar se seu magento não permitir acessar as imagens como HTTP."
"If set to yes, will transform HTTPS to HTTP images for sending.","Se marcado como sim, ira transformar as imagens HTTPS para HTTP para o envio."
"Error on get brands.","Error ao obter Marcas."
"Integration message","Mensagem de Integração"
"An error occurred while updating the anymarket log.","An error occurred while updating the anymarket log."
"An error occurred while updating the anymarket products.","An error occurred while updating the anymarket products."
"AnyMarket Log API","AnyMarket Log API"
"AnyMarket Log was saved","AnyMarket Log was saved"
"AnyMarket Log was successfully deleted.","AnyMarket Log was successfully deleted."
"AnyMarket Log was successfully saved","AnyMarket Log was successfully saved"
"AnyMarket Log","AnyMarket Log"
"Check the configurations","Valide as Configurações"
"Check Configuration","Verificar Configurações"
"About","Sobre"
"SKU to bond not found :","SKU para vinculo não encontrado: "
"Contact the Anymarket for this information.","Entre em contato com o Anymarket para obter essa informação."
"URL for access to AnyMarket.","URL da API para acesso ao AnyMarket."
"Token necessary access to AnyMarket.","Token necessario acesso ao AnyMarket."
"OI necessary to use the Callback.","OI necessario para utilização do Callback."
"General","Geral"
"In Anymarket there is a restriction on the image, it is required to have 350px by 350px and less than 4mb, if this option is checked, this validation is for Anymarket account.","No Anymarket há uma restrição na imagem, a mesma tem que ter obrigatoriamente 350px por 350px e menor que 4mb, se essa opção for marcada, essa validação fica por conta do Anymarket."
"It will create a product in your store and sent to the Anymarket.","Será criado um produto em sua loja e enviada para o Anymarket."
"Atribute set", "Conjunto de Atributos"
"Set of attributes that should be registered the Anymarket products.","Conjunto de atributos que devem ser cadastrados os produtos do Anymarket."
"Ignore invalid resolution","Ignorar resolução inválida"
"Import products even when it has invalid resolution.","Importar produtos mesmo quando possuir resolução inválida."
"Error on update stock and price.", "Erro ao atualizar estoque e preço."
"Anymarket Products API","Anymarket Products API"
"Unit of measurement","Unidade de Medida"
"Select the attributes that must be sent to Anymarket.","Selecione o(s) atributo(s) que devem ser enviados ao Anymarket."
"Added item in queue: ","Adicionado item na fila: "
"Processing item: ","Processando item: "
"Item processed: ","Item processado: "
"Select the attributes that must be sent to Anymarket.","Selecione o(s) atributo(s) que devem ser enviado ao Anymarket."
"If you selected more than one (1), the export will be concatenated all fields, the import will be placed in every attribute that is text and are marked in this configuration.","Se selecionado mais que 1(um), na exportação será concatenado todos os campos, na importação sera colocado em todos os atributo que forem text e estiverem marcado nessa configuração."
"Attribute responsible for controlling the CPF / CNPJ customer, attention to set this field.","Atributo responsavel por controlar o CPF/CNPJ do cliente, muita atenção ao configurar esse campo."
"It is for this group a new customer will be registered when you import a new sale for Magento.","É para esse grupo que um novo cliente sera cadastrado quando importar uma nova venda para o Magento."
"Are you sure? The entire log will be written to a file.","Você tem certeza? Todos os logs serão gravados em um arquivo."
"Select how you will be treated to their size AnyMarket.", "Escolha como será tratado o seu tamanho no AnyMarket."
"Anymarket Products was saved","Anymarket Products was saved"
"Anymarket Products was successfully deleted.","Anymarket Products was successfully deleted."
"Anymarket Products was successfully saved","Anymarket Products was successfully saved"
"Anymarket Products","Produtos Anymarket"
"Category","Categoria"
"Change Status Integration","Mudar Status Integração"
"Save Anymarket Categories","Salvar Categoria Anymarket"
"Delete Anymarket Categories","Deletar Categoria Anymarket"
"Are you sure?","Você tem certeza?"
"A queue is already in process.","Uma fila ja se encontra em processamento."
"Import Categories","Importar Categorias"
"AnyMarket Origin","Origem Anymarket"
"Import", "Importar"
"AnyMarket Category","Categoria Anymarket"
"AnyMarket Price Factor(Limit 99)","Anymarket Markup (Limite de 99)"
"AnyMarket Price Factor(Only Number)","Anymarket Markup (Somente Numeros)"
"Total of %d anymarket attributes were successfully updated.","Total de %d Caracteristicas foram atualizadas."
"Error synchronizing AnyMarket products.","Erro ao sincronizar produtos AnyMarket."
"Error on Sync product SKU: ", "Erro na sincronização de um produto com o SKU :"
"Export","Exportar"
"Synchronize Brands","Sincronizar Marcas"
"Add Anymarket Categories","Adicionar Categoria Anymarket"
"CSV","CSV"
"Error synchronizing order number: ","Erro ao sincronizar o Pedido: "
"Kilogram","Quilograma"
"There was some error getting data Invoice or Tracking.","Houve algum erro ao obter os dados de Tracking ou Invoice."
"Export Categories","Exportar Categorias"
"Gram","Grama"
"By checking to yes, when it is imported into an application status paid in Anymarket, a record in Invoice will be created, remember to link a status that allows billing with PAGO.","Ao marcar como sim, no momento que for importado um pedido do status pago no Anymarket, sera criado um registro em Fatura, lembre-se de vincular um status que permite faturamento com o PAGO."
"Create payment record when importing paid","Criar registro de pagamento ao importar pago"
"Clean Logs by User.","Logs limpo pelo Usuario."
"Are you sure you want to export the categories?","Tem certeza de que deseja exportar as categorias?"
"Already existing SKU in anymarket","SKU ja existente no Anymarket"
"Product with inconsistency:","Produto com inconsistência:"
"Document Type (Customer)","Tipo de Documento (Cliente)"
"Customer group that will be registered when imported from Anymarket.","Grupo de cliente que irá ser cadastrado quando importado do Anymarket."
"Select will be treated as their weight in shipment to the Anymarket.","Selecione como sera tratado seu peso no envio para o Anymarket."
"Synchronize","Sincronizar"
"Error synchronizing AnyMarket products.","Erro ao sincronizar produtos AnyMarket."
"Customer invalid or blank document.","Cliente com Documento inválido ou em branco."
